Date,Total_Admissions,White_Admissions,Black_Admissions,Hispanic_Admissions,AmericanIndian_Admissions,Asian_Admissions,Other_Admissions,Total_Releases,White_Releases,Black_Releases,Hispanic_Releases,AmericanIndian_Releases,Asian_Releases,Other_Releases,State,date,year
1/1/2019,1460,588,179,549,118,6,20,1500,578,185,581,123,6,27,Arizona,1/1/2019,2019
2/1/2019,1426,568,174,528,134,6,16,1580,649,211,573,117,8,22,Arizona,2/1/2019,2019
3/1/2019,1355,512,212,484,113,10,24,1334,504,181,525,94,5,25,Arizona,3/1/2019,2019
4/1/2019,1666,662,193,649,131,2,29,1376,529,153,550,109,10,25,Arizona,4/1/2019,2019
5/1/2019,1578,640,190,579,132,5,32,1400,537,180,534,120,6,23,Arizona,5/1/2019,2019
6/1/2019,1658,690,209,597,123,6,33,1598,641,220,583,117,5,32,Arizona,6/1/2019,2019
7/1/2019,1462,559,202,534,126,4,37,1482,564,223,549,115,7,24,Arizona,7/1/2019,2019
8/1/2019,1518,609,200,545,147,4,14,1567,622,214,554,149,4,24,Arizona,8/1/2019,2019
9/1/2019,1662,622,224,619,159,6,32,1469,598,180,563,103,6,19,Arizona,9/1/2019,2019
10/1/2019,1527,581,228,564,116,7,31,1435,553,213,545,99,7,18,Arizona,10/1/2019,2019
11/1/2019,1666,636,223,627,121,10,49,1551,603,206,565,146,7,24,Arizona,11/1/2019,2019
12/1/2019,1326,508,202,486,89,6,35,1427,559,163,559,117,10,19,Arizona,12/1/2019,2019
1/1/2020,1389,548,176,513,110,6,36,1510,611,190,571,101,9,29,Arizona,1/1/2020,2020
2/1/2020,1427,538,183,550,112,6,38,1446,566,203,529,105,9,34,Arizona,2/1/2020,2020
3/1/2020,1201,442,172,467,92,5,23,1341,516,167,520,110,5,23,Arizona,3/1/2020,2020
4/1/2020,1182,468,157,416,97,7,37,1480,591,200,532,123,6,28,Arizona,4/1/2020,2020
5/1/2020,938,354,136,352,76,6,14,1473,567,212,524,132,6,32,Arizona,5/1/2020,2020
6/1/2020,1065,408,162,394,80,4,17,1509,590,243,521,115,13,27,Arizona,6/1/2020,2020
7/1/2020,635,262,81,207,75,3,7,1489,565,198,574,119,4,29,Arizona,7/1/2020,2020
8/1/2020,557,243,58,189,51,2,14,1369,483,192,535,123,5,32,Arizona,8/1/2020,2020
9/1/2020,1117,442,145,413,89,4,24,1303,520,163,498,89,5,28,Arizona,9/1/2020,2020
10/1/2020,996,406,142,346,87,3,12,1255,473,156,506,97,2,21,Arizona,10/1/2020,2020
11/1/2020,975,366,134,355,78,5,37,1374,540,182,512,109,2,29,Arizona,11/1/2020,2020
12/1/2020,892,335,137,316,74,9,21,1246,461,166,495,98,1,25,Arizona,12/1/2020,2020
1/2/2021,959,377,144,336,68,2,32,1369,523,166,546,99,3,32,Arizona,1/1/2021,2021
2/1/2021,886,353,122,313,69,2,27,1221,461,151,477,92,5,35,Arizona,2/1/2021,2021
3/1/2021,864,295,119,360,67,3,20,1285,477,174,486,114,3,31,Arizona,3/1/2021,2021
4/1/2021,1052,369,142,430,74,2,35,1323,499,180,507,116,2,19,Arizona,4/1/2021,2021
5/1/2021,1103,353,163,470,88,5,24,1238,457,186,462,89,8,36,Arizona,5/1/2021,2021
6/1/2021,972,376,135,361,65,3,32,1275,472,177,501,86,6,33,Arizona,6/1/2021,2021
7/1/2021,1145,440,162,419,95,9,20,1457,567,209,523,118,11,29,Arizona,7/1/2021,2021
8/1/2021,1058,388,150,400,90,8,22,1266,468,159,502,105,5,27,Arizona,8/1/2021,2021
9/1/2021,1049,389,150,391,87,6,26,1306,468,187,515,89,14,33,Arizona,9/1/2021,2021
10/1/2021,1093,396,156,427,83,7,24,1172,432,139,474,97,6,24,Arizona,10/1/2021,2021
11/1/2021,912,356,124,334,75,4,19,1679,641,229,631,131,13,34,Arizona,11/1/2021,2021
12/1/2021,888,322,129,335,85,5,12,1329,486,200,512,88,6,37,Arizona,12/1/2021,2021
1/1/2019,80,64,11,0,3,0,2,125,104,8,0,9,0,4,Maine,1/1/2019,2019
2/1/2019,95,86,5,0,0,0,4,122,99,17,0,4,0,2,Maine,2/1/2019,2019
3/1/2019,103,78,6,0,10,2,7,94,80,7,0,3,1,3,Maine,3/1/2019,2019
4/1/2019,91,73,12,0,3,1,2,131,103,13,0,7,2,6,Maine,4/1/2019,2019
5/1/2019,89,69,11,0,3,1,5,134,102,22,0,3,0,7,Maine,5/1/2019,2019
6/1/2019,99,85,5,0,5,0,4,106,80,14,0,5,3,4,Maine,6/1/2019,2019
7/1/2019,91,80,6,0,3,0,2,110,91,13,0,2,1,3,Maine,7/1/2019,2019
8/1/2019,92,72,11,0,1,1,7,116,99,14,0,2,0,1,Maine,8/1/2019,2019
9/1/2019,103,84,11,0,3,0,5,96,74,8,0,6,2,6,Maine,9/1/2019,2019
10/1/2019,79,63,9,0,1,1,5,102,92,7,0,2,0,1,Maine,10/1/2019,2019
11/1/2019,98,78,12,0,4,1,3,113,84,16,0,7,0,6,Maine,11/1/2019,2019
12/1/2019,81,71,6,0,1,1,2,114,94,11,0,3,3,3,Maine,12/1/2019,2019
1/1/2020,96,74,12,0,3,4,3,112,93,12,0,3,0,4,Maine,1/1/2020,2020
2/1/2020,88,69,14,0,1,1,3,98,78,11,0,1,2,6,Maine,2/1/2020,2020
3/1/2020,65,59,3,0,0,0,3,155,131,18,0,4,0,2,Maine,3/1/2020,2020
4/1/2020,12,9,0,0,2,0,1,104,88,10,0,4,0,2,Maine,4/1/2020,2020
5/1/2020,3,2,0,0,0,0,1,116,99,9,0,2,0,6,Maine,5/1/2020,2020
6/1/2020,10,8,1,0,1,0,0,91,74,11,0,2,1,3,Maine,6/1/2020,2020
7/1/2020,69,51,6,0,6,0,6,88,69,11,0,2,1,5,Maine,7/1/2020,2020
8/1/2020,97,75,14,0,4,1,3,91,75,9,0,4,1,2,Maine,8/1/2020,2020
9/1/2020,56,45,6,0,1,0,4,72,62,3,0,3,1,3,Maine,9/1/2020,2020
10/1/2020,61,52,4,0,2,0,3,79,60,8,0,2,2,7,Maine,10/1/2020,2020
11/1/2020,31,27,1,0,1,0,2,77,58,8,0,5,0,6,Maine,11/1/2020,2020
12/1/2020,68,57,8,0,1,0,2,73,57,14,0,1,0,1,Maine,12/1/2020,2020
1/1/2021,37,31,5,0,0,0,1,74,61,6,0,3,0,4,Maine,1/1/2021,2021
2/1/2021,52,46,2,0,1,0,3,70,56,9,0,1,0,4,Maine,2/1/2021,2021
3/1/2021,71,57,10,0,2,1,1,82,68,6,0,3,2,3,Maine,3/1/2021,2021
4/1/2021,36,32,1,0,2,0,1,89,71,11,0,2,1,4,Maine,4/1/2021,2021
5/1/2021,61,47,7,0,2,1,4,72,58,9,0,1,0,4,Maine,5/1/2021,2021
6/1/2021,85,64,11,0,3,0,7,70,57,5,0,3,1,4,Maine,6/1/2021,2021
7/1/2021,78,68,8,0,0,0,2,73,60,7,0,4,0,2,Maine,7/1/2021,2021
8/1/2021,61,51,7,0,1,0,2,78,60,7,0,4,1,6,Maine,8/1/2021,2021
9/1/2021,26,23,1,0,0,0,2,58,52,4,0,0,1,1,Maine,9/1/2021,2021
10/1/2021,83,64,9,0,4,0,6,73,60,6,0,2,0,5,Maine,10/1/2021,2021
11/1/2021,73,59,9,0,1,0,4,60,44,10,0,3,0,3,Maine,11/1/2021,2021
12/1/2021,54,42,4,0,3,0,5,90,76,8,0,3,1,2,Maine,12/1/2021,2021
1/1/2019,646,360,100,107,53,23,3,742,450,129,82,47,30,4,Washington,1/1/2019,2019
2/1/2019,623,374,93,100,33,22,1,650,389,85,104,43,27,2,Washington,2/1/2019,2019
3/1/2019,743,454,99,121,41,23,5,634,373,106,81,45,24,5,Washington,3/1/2019,2019
4/1/2019,666,416,102,74,36,25,13,726,435,110,123,33,23,2,Washington,4/1/2019,2019
5/1/2019,709,431,96,109,41,21,11,704,426,103,101,53,20,1,Washington,5/1/2019,2019
6/1/2019,581,372,78,82,36,10,3,595,326,104,93,42,28,2,Washington,6/1/2019,2019
7/1/2019,622,374,104,86,35,22,1,701,407,116,104,46,26,2,Washington,7/1/2019,2019
8/1/2019,647,380,86,117,44,19,1,632,386,94,96,35,16,5,Washington,8/1/2019,2019
9/1/2019,550,311,96,94,29,20,0,699,430,109,92,36,29,3,Washington,9/1/2019,2019
10/1/2019,721,425,91,126,42,36,1,667,433,91,92,28,19,4,Washington,10/1/2019,2019
11/1/2019,595,359,87,91,38,16,4,589,369,97,75,23,18,7,Washington,11/1/2019,2019
12/1/2019,579,341,90,82,43,23,0,639,406,83,89,31,23,7,Washington,12/1/2019,2019
1/1/2020,624,350,94,103,40,28,9,655,400,98,92,35,23,7,Washington,1/1/2020,2020
2/1/2020,597,343,92,105,34,20,3,592,374,98,74,32,13,1,Washington,2/1/2020,2020
3/1/2020,600,352,76,109,35,23,5,628,386,85,100,32,21,4,Washington,3/1/2020,2020
4/1/2020,293,171,39,53,21,9,0,965,576,148,146,57,32,6,Washington,4/1/2020,2020
5/1/2020,292,167,39,48,26,11,1,447,268,63,75,24,15,2,Washington,5/1/2020,2020
6/1/2020,263,162,41,39,10,11,0,519,325,84,64,25,18,3,Washington,6/1/2020,2020
7/1/2020,313,177,47,53,19,15,2,635,411,74,100,33,16,1,Washington,7/1/2020,2020
8/1/2020,338,212,36,55,24,9,2,581,363,83,73,39,19,4,Washington,8/1/2020,2020
9/1/2020,385,211,51,76,25,19,3,584,336,84,99,42,18,5,Washington,9/1/2020,2020
10/1/2020,495,306,67,84,26,10,2,600,359,76,81,45,34,5,Washington,10/1/2020,2020
11/1/2020,400,222,65,72,24,16,1,521,306,83,81,32,15,4,Washington,11/1/2020,2020
12/1/2020,237,121,37,46,23,9,1,579,363,82,79,26,28,1,Washington,12/1/2020,2020
1/1/2021,414,245,51,78,28,11,1,549,343,85,68,35,14,4,Washington,1/1/2021,2021
2/1/2021,344,204,57,55,14,11,3,488,290,82,73,27,12,4,Washington,2/1/2021,2021
3/1/2021,404,234,55,78,22,14,1,600,348,82,107,39,22,2,Washington,3/1/2021,2021
4/1/2021,402,212,65,76,32,14,3,630,381,102,85,37,22,3,Washington,4/1/2021,2021
5/1/2021,423,257,52,70,19,23,2,555,341,80,77,39,16,2,Washington,5/1/2021,2021
6/1/2021,345,196,64,55,15,9,6,632,374,115,80,42,19,2,Washington,6/1/2021,2021
7/1/2021,397,232,50,80,23,10,2,569,321,100,87,36,22,3,Washington,7/1/2021,2021
8/1/2021,407,237,53,81,25,11,0,506,284,93,72,38,17,2,Washington,8/1/2021,2021
9/1/2021,368,211,61,65,24,6,1,486,282,67,76,33,26,2,Washington,9/1/2021,2021
10/1/2021,290,163,46,43,21,14,3,420,248,65,63,25,19,0,Washington,10/1/2021,2021
11/1/2021,479,264,85,85,27,16,2,451,256,75,68,34,17,1,Washington,11/1/2021,2021
12/1/2021,352,197,57,69,18,9,2,463,262,54,89,40,16,2,Washington,12/1/2021,2021
1/1/2019,772,432,279,0,49,11,0,778,435,283,0,48,10,0,Wisconsin,1/1/2019,2019
2/1/2019,772,432,279,0,49,11,0,778,435,283,0,48,10,0,Wisconsin,2/1/2019,2019
